	TranscriptionName	modifiers	Annotation
807	Borisova_Subocheva	1	1
808	Borisova_Subocheva	1	1
809	Borisova_Subocheva	1	1
810	Borisova_Subocheva	1	1
811	Borisova_Subocheva	1	1
812	Borisova_Subocheva	1	0
813	Borisova_Subocheva	1	0
814	Borisova_Subocheva	0	0
815	Borisova_Subocheva	0	0
816	Borisova_Subocheva	0	0
817	Borisova_Subocheva	0	0
818	Borisova_Subocheva	0	0
819	Borisova_Subocheva	0	0
820	Borisova_Subocheva	0	0
821	Borisova_Subocheva	0	0
822	Borisova_Subocheva	0	0
823	Borisova_Subocheva	0	0
824	Borisova_Subocheva	1	0
825	Borisova_Subocheva	0	1
826	Borisova_Subocheva	0	0
827	Borisova_Subocheva	1	1
828	Borisova_Subocheva	1	0
829	Borisova_Subocheva	1	1
830	Borisova_Subocheva	1	0
831	Borisova_Tregubova	0	1
832	Borisova_Tregubova	0	0
833	Borisova_Tregubova	1	1
834	Borisova_Tregubova	1	1
835	Borisova_Tregubova	0	1
836	Borisova_Tregubova	0	1
837	Borisova_Tregubova	0	1
838	Borisova_Tregubova	0	1
839	Borisova_Tregubova	1	1
840	Borisova_Tregubova	0	1
841	Borisova_Tregubova	0	0
842	Borisova_Tregubova	1	1
843	Borisova_Tregubova	1	0
844	Borisova_Tregubova	1	1
845	Borisova_Tregubova	0	1
846	Borisova_Tregubova	0	0
847	Bocharovy	0	1
848	Bocharovy	0	1
849	Bocharovy	1	1
850	Bocharovy	1	1
851	Bocharovy	0	1
852	Bocharovy	0	1
853	Bocharovy	1	1
854	Bocharovy	1	1
855	Bocharovy	1	1
856	Bocharovy	1	1
857	Bocharovy	1	0
858	Bocharovy	0	0
859	Bocharovy	0	0
862	Bocharovy	0	1
863	Bocharovy	0	1
864	Bocharovy	1	1
865	Bocharovy	0	1
